"aih_52. Wenn Sie in einem selbstfahrenden Auto säßen, welche Aufgaben würden Sie gerne an das Auto übergeben, um es autonom auszuführen? Bitte stufen Sie Ihr Vertrauen ein, wenn es um die folgenden Fahraufgaben geht, die von einem selbstfahrenden Auto beim Fahren auf Autobahnen ausgeführt werden: AUTOBAHNEN [Die Geschwindigkeit des Autos]","aih_52. Wenn Sie in einem selbstfahrenden Auto säßen, welche Aufgaben würden Sie gerne an das Auto übergeben, um es autonom auszuführen? Bitte stufen Sie Ihr Vertrauen ein, wenn es um die folgenden Fahraufgaben geht, die von einem selbstfahrenden Auto beim Fahren auf Autobahnen ausgeführt werden: AUTOBAHNEN [Spurwechsel]","aih_52. Wenn Sie in einem selbstfahrenden Auto säßen, welche Aufgaben würden Sie gerne an das Auto übergeben, um es autonom auszuführen? Bitte stufen Sie Ihr Vertrauen ein, wenn es um die folgenden Fahraufgaben geht, die von einem selbstfahrenden Auto beim Fahren auf Autobahnen ausgeführt werden: AUTOBAHNEN [Signalisierung]","aih_52. Wenn Sie in einem selbstfahrenden Auto säßen, welche Aufgaben würden Sie gerne an das Auto übergeben, um es autonom auszuführen? Bitte stufen Sie Ihr Vertrauen ein, wenn es um die folgenden Fahraufgaben geht, die von einem selbstfahrenden Auto beim Fahren auf Autobahnen ausgeführt werden: AUTOBAHNEN [Fahren bei gefährlichen Wetterbedingungen]","aih_52. Wenn Sie in einem selbstfahrenden Auto säßen, welche Aufgaben würden Sie gerne an das Auto übergeben, um es autonom auszuführen? Bitte stufen Sie Ihr Vertrauen ein, wenn es um die folgenden Fahraufgaben geht, die von einem selbstfahrenden Auto beim Fahren auf Autobahnen ausgeführt werden: AUTOBAHNEN [Bremsen]","aih_52. Wenn Sie in einem selbstfahrenden Auto säßen, welche Aufgaben würden Sie gerne an das Auto übergeben, um es autonom auszuführen? Bitte stufen Sie Ihr Vertrauen ein, wenn es um die folgenden Fahraufgaben geht, die von einem selbstfahrenden Auto beim Fahren auf Autobahnen ausgeführt werden: AUTOBAHNEN [Halten Sie einen gewissen Abstand zu den Autos um Sie herum]","aih_52. Wenn Sie in einem selbstfahrenden Auto säßen, welche Aufgaben würden Sie gerne an das Auto übergeben, um es autonom auszuführen? Bitte stufen Sie Ihr Vertrauen ein, wenn es um die folgenden Fahraufgaben geht, die von einem selbstfahrenden Auto beim Fahren auf Autobahnen ausgeführt werden: AUTOBAHNEN [Parken]","aih_52. Wenn Sie in einem selbstfahrenden Auto säßen, welche Aufgaben würden Sie gerne an das Auto übergeben, um es autonom auszuführen? Bitte stufen Sie Ihr Vertrauen ein, wenn es um die folgenden Fahraufgaben geht, die von einem selbstfahrenden Auto beim Fahren auf Autobahnen ausgeführt werden: AUTOBAHNEN [Nachts fahren]","ainh_46. Wenn Sie in einem selbstfahrenden Auto säßen, welche Aufgaben würden Sie gerne an das Auto übergeben, um es autonom auszuführen? Bitte stufen Sie Ihre Vertrauensstufe ein, wenn es um die folgenden Fahraufgaben geht, die von einem selbstfahrenden Auto beim Befahren ausgeführt werden: NICHT-AUTOBAHNSTRASSEN [Die Geschwindigkeit des Autos]","ainh_46. Wenn Sie in einem selbstfahrenden Auto säßen, welche Aufgaben würden Sie gerne an das Auto übergeben, um es autonom auszuführen? Bitte stufen Sie Ihre Vertrauensstufe ein, wenn es um die folgenden Fahraufgaben geht, die von einem selbstfahrenden Auto beim Befahren ausgeführt werden: NICHT-AUTOBAHNSTRASSEN [Spurwechsel]","ainh_46. Wenn Sie in einem selbstfahrenden Auto säßen, welche Aufgaben würden Sie gerne an das Auto übergeben, um es autonom auszuführen? Bitte stufen Sie Ihre Vertrauensstufe ein, wenn es um die folgenden Fahraufgaben geht, die von einem selbstfahrenden Auto beim Befahren ausgeführt werden: NICHT-AUTOBAHNSTRASSEN [Signalisierung]","ainh_46. Wenn Sie in einem selbstfahrenden Auto säßen, welche Aufgaben würden Sie gerne an das Auto übergeben, um es autonom auszuführen? Bitte stufen Sie Ihre Vertrauensstufe ein, wenn es um die folgenden Fahraufgaben geht, die von einem selbstfahrenden Auto beim Befahren ausgeführt werden: NICHT-AUTOBAHNSTRASSEN [Fahren bei gefährlichen Wetterbedingungen]","ainh_46. Wenn Sie in einem selbstfahrenden Auto säßen, welche Aufgaben würden Sie gerne an das Auto übergeben, um es autonom auszuführen? Bitte stufen Sie Ihre Vertrauensstufe ein, wenn es um die folgenden Fahraufgaben geht, die von einem selbstfahrenden Auto beim Befahren ausgeführt werden: NICHT-AUTOBAHNSTRASSEN [Bremsen]","ainh_46. Wenn Sie in einem selbstfahrenden Auto säßen, welche Aufgaben würden Sie gerne an das Auto übergeben, um es autonom auszuführen? Bitte stufen Sie Ihre Vertrauensstufe ein, wenn es um die folgenden Fahraufgaben geht, die von einem selbstfahrenden Auto beim Befahren ausgeführt werden: NICHT-AUTOBAHNSTRASSEN [Halten Sie einen gewissen Abstand zu den Autos um Sie herum]","ainh_46. Wenn Sie in einem selbstfahrenden Auto säßen, welche Aufgaben würden Sie gerne an das Auto übergeben, um es autonom auszuführen? Bitte stufen Sie Ihre Vertrauensstufe ein, wenn es um die folgenden Fahraufgaben geht, die von einem selbstfahrenden Auto beim Befahren ausgeführt werden: NICHT-AUTOBAHNSTRASSEN [Parken]","ainh_46. Wenn Sie in einem selbstfahrenden Auto säßen, welche Aufgaben würden Sie gerne an das Auto übergeben, um es autonom auszuführen? Bitte stufen Sie Ihre Vertrauensstufe ein, wenn es um die folgenden Fahraufgaben geht, die von einem selbstfahrenden Auto beim Befahren ausgeführt werden: NICHT-AUTOBAHNSTRASSEN [Nachts fahren]"
1.0,1.0,1.0,0.75,0.75,0.75,1.0,1.0,1.0,0.75,0.75,0.75,0.75,0.75,0.75,1.0
0.25,0.25,0.75,0.25,0.25,0.75,0.25,0.25,0.25,0.25,0.75,0.25,0.25,0.75,0.25,0.25
0.75,0.75,1.0,0.75,0.75,0.75,0.75,0.75,0.5,0.25,1.0,0.75,0.75,1.0,0.75,0.75
1.0,1.0,1.0,1.0,0.25,1.0,1.0,1.0,0.25,1.0,1.0,0.75,1.0,1.0,1.0,1.0
0.5,0.25,0.5,0.5,0.5,0.5,0.75,0.5,0.25,0.25,0.5,0.5,0.5,0.5,0.75,0.5
1.0,1.0,1.0,0.0,1.0,1.0,0.5,1.0,1.0,0.75,0.75,0.0,1.0,1.0,0.5,0.75
0.75,0.75,0.5,0.75,0.75,1.0,0.25,0.75,0.75,0.5,0.75,0.75,0.75,1.0,0.5,0.75
0.5,0.25,0.75,0.5,1.0,0.75,1.0,0.75,0.75,0.75,1.0,0.5,0.75,0.5,1.0,0.75
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
1.0,0.25,1.0,0.75,0.75,1.0,0.75,0.75,0.75,0.25,1.0,0.5,0.75,1.0,1.0,0.5
0.75,0.0,0.0,0.0,0.5,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0
0.25,0.25,0.75,0.25,0.25,0.25,0.75,0.5,0.75,0.25,1.0,0.75,0.75,0.75,0.5,0.5
0.5,0.25,0.5,0.75,0.5,0.5,0.25,0.5,0.5,0.5,0.75,0.5,0.25,0.5,0.75,0.5
0.5,0.5,0.75,0.5,0.75,0.75,0.0,0.5,0.5,0.5,0.75,0.75,0.25,1.0,1.0,0.5
1.0,1.0,1.0,0.75,1.0,1.0,0.5,1.0,1.0,1.0,0.75,1.0,1.0,1.0,0.75,0.75
0.75,0.5,0.5,0.0,0.5,0.75,1.0,0.5,0.75,0.25,0.75,0.0,0.5,0.25,0.75,0.75
0.5,0.5,0.5,0.25,0.5,0.5,0.5,0.5,0.5,0.25,0.5,0.25,0.25,0.5,0.5,0.25
0.25,0.25,1.0,0.25,0.75,0.25,0.75,0.75,0.25,0.25,1.0,0.25,0.25,0.75,0.75,0.75
1.0,0.25,0.75,0.25,0.25,0.75,0.75,0.25,1.0,0.25,0.25,0.0,0.25,0.75,0.75,0.25
0.75,0.75,1.0,0.5,0.5,1.0,1.0,1.0,0.75,0.5,0.75,0.5,0.5,1.0,1.0,0.75
0.25,0.25,0.25,0.25,0.5,0.0,0.5,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25
1.0,1.0,1.0,0.25,1.0,1.0,0.25,1.0,1.0,0.25,1.0,0.0,0.75,1.0,0.25,0.75
0.25,0.25,0.75,0.25,0.0,0.5,0.0,0.25,0.75,0.25,0.75,0.25,0.0,0.5,0.75,0.5
0.75,0.5,0.75,1.0,0.5,1.0,1.0,1.0,0.25,0.25,0.75,0.5,1.0,1.0,0.75,1.0
0.25,0.25,0.5,0.0,0.5,0.75,0.0,0.25,0.75,0.0,0.25,0.0,0.75,0.75,0.25,0.5
0.25,0.25,1.0,0.75,1.0,1.0,1.0,1.0,1.0,0.25,1.0,1.0,0.75,0.75,1.0,0.75
0.5,0.25,0.5,0.25,0.75,0.75,0.75,0.75,0.5,0.25,0.75,0.5,0.75,0.75,0.75,0.75
0.75,0.25,0.75,0.25,0.75,0.75,0.75,0.75,0.75,0.25,0.75,0.25,0.75,0.75,0.75,0.75
1.0,1.0,1.0,0.75,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.75,1.0,1.0,1.0,1.0
1.0,0.75,1.0,0.5,0.75,1.0,1.0,1.0,0.75,0.75,1.0,0.5,0.75,1.0,1.0,1.0
0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.75,0.75,0.75,0.75,0.75
0.5,0.25,0.5,0.5,0.75,0.25,0.5,0.5,0.75,0.25,0.0,0.5,0.25,0.75,0.0,0.0
0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25
0.25,0.5,0.0,0.5,0.25,0.25,0.75,0.0,0.5,0.25,0.5,0.5,0.0,0.25,1.0,0.25
0.0,0.0,0.75,0.0,0.25,0.0,0.75,0.0,0.0,0.0,0.75,0.0,0.25,0.5,1.0,0.5
0.75,0.75,0.75,0.5,0.75,0.75,0.75,0.75,0.75,0.25,0.75,0.25,0.75,0.75,0.75,0.75
1.0,0.75,0.75,0.5,0.75,1.0,0.75,0.75,1.0,0.25,0.75,0.25,0.75,1.0,0.75,0.75
0.0,0.0,0.5,0.0,0.0,0.5,0.75,0.25,0.25,0.0,0.75,0.0,0.5,0.25,0.75,0.25
0.75,0.75,0.75,1.0,0.75,0.75,0.25,0.75,0.75,0.75,1.0,0.75,0.5,0.75,0.75,0.75
0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75
0.5,0.0,0.25,0.0,0.25,0.0,0.0,0.0,0.5,0.0,0.25,0.0,0.25,0.5,0.25,0.0
0.75,0.0,0.25,0.0,0.75,0.75,0.5,0.0,0.75,0.25,0.75,0.5,1.0,0.75,0.75,0.25
0.0,0.25,0.0,0.25,0.0,0.0,0.0,0.25,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0
0.5,0.25,0.75,0.5,0.25,0.5,0.75,0.5,0.75,0.5,1.0,0.25,0.5,1.0,0.75,0.5
0.75,0.25,0.75,0.75,0.25,0.75,0.75,0.5,0.75,0.25,0.75,0.25,0.25,0.75,0.75,0.75
0.0,0.75,0.75,0.75,0.25,0.75,0.0,0.75,0.75,0.25,0.75,0.75,0.75,0.75,0.75,0.75
0.0,0.25,1.0,0.25,0.75,0.75,1.0,0.75,0.0,0.25,1.0,0.25,0.5,0.75,1.0,0.75
0.75,0.75,1.0,0.75,1.0,1.0,1.0,0.75,0.75,0.75,1.0,0.75,0.75,1.0,1.0,0.5
1.0,0.5,0.75,0.25,0.75,0.5,0.25,0.5,1.0,0.75,0.75,0.0,1.0,0.5,0.25,0.75
0.25,0.0,0.75,0.25,0.0,0.25,0.75,0.25,0.75,0.0,0.75,0.0,0.0,0.25,0.75,0.0
1.0,1.0,0.75,0.5,0.75,1.0,0.5,1.0,1.0,0.75,1.0,0.5,0.75,0.75,0.75,0.75
1.0,1.0,1.0,0.75,0.75,1.0,0.75,0.25,1.0,0.75,1.0,0.25,0.25,1.0,0.75,0.25
1.0,0.0,1.0,0.0,0.5,1.0,0.25,0.25,1.0,0.0,0.75,0.0,0.5,1.0,0.5,0.25
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.75,0.75,1.0,1.0,1.0
1.0,0.75,1.0,0.75,1.0,1.0,1.0,0.75,1.0,1.0,1.0,0.5,1.0,1.0,1.0,0.75
0.75,1.0,1.0,0.25,1.0,1.0,0.75,1.0,1.0,1.0,1.0,0.75,0.0,1.0,1.0,0.5
0.25,0.25,1.0,0.25,0.25,0.25,1.0,0.25,0.25,0.25,1.0,0.0,0.25,0.25,0.75,0.25
0.5,0.25,0.75,0.0,0.25,0.5,0.5,0.25,0.5,0.25,0.75,0.0,0.25,0.75,0.5,0.0
1.0,0.25,1.0,0.0,0.25,0.5,0.75,0.0,1.0,0.25,1.0,0.0,0.75,0.75,0.75,0.0
1.0,0.25,1.0,0.75,0.75,1.0,0.75,0.75,0.75,0.25,1.0,0.75,0.75,1.0,0.75,0.75
0.25,0.25,0.5,0.0,0.25,0.75,1.0,0.25,0.0,0.0,0.25,0.0,0.25,0.75,1.0,0.25
1.0,0.25,0.25,0.0,0.5,0.75,0.75,0.0,1.0,0.0,0.25,0.25,0.25,0.75,0.75,0.0
0.25,0.25,0.5,0.25,0.75,0.5,0.25,0.5,0.5,0.25,0.5,0.25,0.25,0.75,0.75,0.5
0.75,0.25,0.75,0.25,0.25,0.25,0.5,0.25,0.75,0.25,0.75,0.25,0.25,0.5,0.75,0.25
0.75,0.5,0.25,0.5,0.5,0.25,0.0,0.75,1.0,1.0,1.0,0.5,0.25,1.0,1.0,0.25
0.75,0.5,0.75,0.75,0.75,0.5,0.75,0.75,0.75,0.75,0.75,0.5,0.5,0.75,1.0,0.75
