dbh_18. Was Ihr Fahrverhalten in Bezug auf die Geschwindigkeit w채hrend der Fahrt meist am besten beschreibt: DIE AUTOBAHN,dbh_20. Was Ihr Spurwechselverhalten beim Fahren am besten beschreibt: DIE AUTOBAHN,dbh_22. Wie w체rden Sie das Beschleunigen und Abbremsen w채hrend der Fahrt beschreiben: DIE AUTOBAHN,dbh_23. Wie oft 체berholen Sie andere Fahrzeuge beim Fahren auf: DER AUTOBAHN,dbh_25. Was Ihr Bremsverhalten beim Fahren am besten beschreibt: DIE AUTOBAHN
1.0,0.5,0.0,0.75,0.0
1.0,1.0,0.5,0.75,0.5
0.5,1.0,0.5,0.75,0.5
0.0,0.5,0.0,0.0,0.0
0.5,0.5,0.5,0.25,0.5
0.5,0.5,0.5,0.75,0.5
0.0,0.0,0.0,0.0,0.5
0.0,0.5,0.5,0.75,0.0
0.5,0.0,0.5,0.0,0.5
0.5,1.0,0.5,0.75,0.5
0.5,0.5,0.5,0.75,0.0
0.5,0.5,0.5,0.75,0.5
0.5,0.0,0.5,0.0,1.0
0.5,0.5,0.5,0.25,0.5
1.0,1.0,1.0,0.75,0.0
0.5,0.5,0.5,0.75,0.0
0.5,0.5,0.5,0.75,0.0
0.5,0.5,0.5,0.25,0.5
0.5,0.5,0.5,0.75,0.5
0.5,0.5,0.5,0.25,0.5
0.0,1.0,0.5,0.75,0.5
1.0,1.0,1.0,0.75,0.5
0.5,0.5,0.5,0.75,0.5
0.5,0.5,0.5,0.25,0.5
1.0,1.0,1.0,0.75,0.5
0.5,1.0,1.0,0.75,1.0
0.5,0.5,0.5,0.25,1.0
0.5,0.5,0.0,0.25,0.5
1.0,1.0,0.5,0.75,1.0
0.5,0.5,0.5,0.0,0.5
0.5,0.5,0.5,0.25,0.0
1.0,0.0,0.5,0.0,0.5
0.5,0.0,0.0,0.0,1.0
0.0,1.0,0.0,0.25,0.5
0.5,0.5,0.5,0.25,0.0
0.5,0.5,0.5,0.75,0.5
0.5,0.5,0.5,0.75,0.5
0.5,0.5,0.0,0.25,0.5
1.0,0.5,0.5,0.75,0.5
0.5,0.5,0.5,0.25,0.5
1.0,1.0,1.0,0.75,0.5
0.5,1.0,0.5,1.0,0.5
0.0,0.5,0.5,0.75,1.0
1.0,1.0,0.0,0.75,0.5
0.5,0.0,0.5,0.75,0.0
0.5,0.5,0.5,0.25,1.0
1.0,1.0,1.0,0.75,0.0
0.5,0.5,0.5,0.25,0.5
0.5,0.5,0.5,0.75,0.5
0.5,1.0,0.5,0.75,0.5
1.0,1.0,0.5,0.75,0.0
1.0,0.5,1.0,1.0,0.5
0.5,0.5,0.5,0.75,0.5
0.5,0.5,0.0,0.25,0.5
0.5,0.0,0.0,0.0,0.5
1.0,1.0,0.0,0.75,0.0
1.0,1.0,0.5,0.75,0.0
0.5,0.5,0.5,0.25,0.5
1.0,0.5,0.5,0.75,0.5
0.5,1.0,0.5,0.75,0.5
0.5,0.5,0.5,0.75,0.5
1.0,0.5,0.5,0.25,0.5
0.5,0.5,0.5,0.75,1.0
0.5,0.5,0.5,0.75,1.0
0.5,0.5,0.5,0.0,1.0
0.5,0.0,0.5,0.25,0.0
