"aih_52. If you were in a self driving car, what tasks do you feel comfortable handing over to the car to perform autonomously? Please rank your trust level when it comes to the following driving tasks being performed by a self-driving car when driving on: HIGHWAY ROADS  [The speed of the car]","aih_52. If you were in a self driving car, what tasks do you feel comfortable handing over to the car to perform autonomously? Please rank your trust level when it comes to the following driving tasks being performed by a self-driving car when driving on: HIGHWAY ROADS  [Changing Lanes]","aih_52. If you were in a self driving car, what tasks do you feel comfortable handing over to the car to perform autonomously? Please rank your trust level when it comes to the following driving tasks being performed by a self-driving car when driving on: HIGHWAY ROADS  [Signalling ]","aih_52. If you were in a self driving car, what tasks do you feel comfortable handing over to the car to perform autonomously? Please rank your trust level when it comes to the following driving tasks being performed by a self-driving car when driving on: HIGHWAY ROADS  [Driving in hazardous weather conditions]","aih_52. If you were in a self driving car, what tasks do you feel comfortable handing over to the car to perform autonomously? Please rank your trust level when it comes to the following driving tasks being performed by a self-driving car when driving on: HIGHWAY ROADS  [Braking]","aih_52. If you were in a self driving car, what tasks do you feel comfortable handing over to the car to perform autonomously? Please rank your trust level when it comes to the following driving tasks being performed by a self-driving car when driving on: HIGHWAY ROADS  [Maintaining a certain distance from the cars around you]","aih_52. If you were in a self driving car, what tasks do you feel comfortable handing over to the car to perform autonomously? Please rank your trust level when it comes to the following driving tasks being performed by a self-driving car when driving on: HIGHWAY ROADS  [Parking]","aih_52. If you were in a self driving car, what tasks do you feel comfortable handing over to the car to perform autonomously? Please rank your trust level when it comes to the following driving tasks being performed by a self-driving car when driving on: HIGHWAY ROADS  [Driving at night]","ainh_46. If you were in a self driving car, what tasks do you feel comfortable handing over to the car to perform autonomously? Please rank your trust level when it comes to the following driving tasks being performed by a self-driving car when driving on: NON-HIGHWAY ROADS  [The speed of the car]","ainh_46. If you were in a self driving car, what tasks do you feel comfortable handing over to the car to perform autonomously? Please rank your trust level when it comes to the following driving tasks being performed by a self-driving car when driving on: NON-HIGHWAY ROADS  [Changing Lanes]","ainh_46. If you were in a self driving car, what tasks do you feel comfortable handing over to the car to perform autonomously? Please rank your trust level when it comes to the following driving tasks being performed by a self-driving car when driving on: NON-HIGHWAY ROADS  [Signalling ]","ainh_46. If you were in a self driving car, what tasks do you feel comfortable handing over to the car to perform autonomously? Please rank your trust level when it comes to the following driving tasks being performed by a self-driving car when driving on: NON-HIGHWAY ROADS  [Driving in hazardous weather conditions]","ainh_46. If you were in a self driving car, what tasks do you feel comfortable handing over to the car to perform autonomously? Please rank your trust level when it comes to the following driving tasks being performed by a self-driving car when driving on: NON-HIGHWAY ROADS  [Braking]","ainh_46. If you were in a self driving car, what tasks do you feel comfortable handing over to the car to perform autonomously? Please rank your trust level when it comes to the following driving tasks being performed by a self-driving car when driving on: NON-HIGHWAY ROADS  [Maintaining a certain distance from the cars around you]","ainh_46. If you were in a self driving car, what tasks do you feel comfortable handing over to the car to perform autonomously? Please rank your trust level when it comes to the following driving tasks being performed by a self-driving car when driving on: NON-HIGHWAY ROADS  [Parking]","ainh_46. If you were in a self driving car, what tasks do you feel comfortable handing over to the car to perform autonomously? Please rank your trust level when it comes to the following driving tasks being performed by a self-driving car when driving on: NON-HIGHWAY ROADS  [Driving at night]"
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
0.5,0.25,0.75,0.0,0.25,0.5,0.0,0.0,0.0,0.25,0.5,0.0,0.75,0.75,0.25,0.0
0.25,0.0,0.5,0.25,0.0,0.5,0.5,0.5,0.5,0.25,0.5,0.25,0.25,0.5,0.25,0.5
0.75,1.0,1.0,0.75,0.75,0.75,0.75,1.0,1.0,1.0,1.0,1.0,1.0,0.75,0.5,0.5
1.0,1.0,1.0,0.25,0.25,0.25,0.25,0.25,1.0,1.0,1.0,0.25,0.25,0.25,0.25,0.25
0.75,0.75,0.75,0.25,0.75,0.75,1.0,1.0,0.75,0.75,0.75,0.25,0.75,0.75,0.75,1.0
0.0,0.75,0.75,0.0,0.5,0.75,0.75,0.5,0.25,0.25,1.0,0.25,1.0,0.75,0.75,0.75
0.75,1.0,0.75,0.5,0.75,1.0,0.75,1.0,0.75,1.0,0.5,0.5,0.75,1.0,0.75,0.5
0.5,1.0,0.75,0.5,0.75,1.0,0.5,0.75,0.5,0.75,1.0,0.5,0.75,1.0,0.5,0.75
0.75,0.5,0.75,0.75,0.25,0.0,0.75,0.0,0.75,0.5,1.0,0.25,1.0,0.75,0.75,1.0
0.75,0.5,0.75,1.0,0.75,0.75,0.75,0.75,0.75,0.75,1.0,0.5,0.75,0.5,0.75,0.75
1.0,0.75,1.0,1.0,1.0,0.75,1.0,1.0,1.0,0.75,1.0,0.75,1.0,1.0,1.0,0.75
1.0,0.75,0.75,0.5,0.75,1.0,0.5,0.75,0.75,0.75,0.75,0.25,0.75,1.0,1.0,0.5
0.0,0.25,0.5,0.75,1.0,0.75,0.5,0.25,0.0,0.25,0.5,0.75,1.0,0.75,0.5,0.25
1.0,1.0,1.0,0.75,0.75,1.0,1.0,0.75,1.0,1.0,1.0,0.75,0.75,0.75,1.0,0.75
0.5,1.0,1.0,0.25,0.75,0.75,0.75,0.75,1.0,1.0,1.0,0.5,1.0,1.0,1.0,1.0
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.75,1.0,0.75,1.0,0.75,1.0,0.75
0.75,0.25,0.5,0.5,0.5,0.5,0.5,0.25,0.75,0.75,0.5,0.75,0.5,1.0,0.75,0.5
0.75,0.75,1.0,0.75,0.75,1.0,0.5,0.75,0.75,0.5,0.5,0.75,0.5,0.75,0.5,0.75
0.5,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.75,0.25,0.75,0.5,0.25,0.5,0.75,0.0
0.75,0.75,0.75,0.25,0.5,0.5,0.25,0.0,0.75,0.75,0.75,0.25,0.25,0.75,0.75,0.0
0.75,0.5,0.25,0.5,0.5,0.75,0.5,0.5,0.0,0.75,0.5,0.5,0.75,0.5,0.75,0.5
0.0,0.0,0.75,0.0,0.25,0.5,0.75,0.25,0.25,0.25,0.5,0.0,0.0,0.75,0.75,0.5
1.0,1.0,1.0,0.25,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.25,0.5,1.0,1.0,0.75
0.25,0.25,0.0,0.0,0.0,0.0,0.25,0.0,0.25,0.25,0.0,0.0,0.0,0.5,0.0,0.0
0.75,0.25,0.75,0.0,0.0,0.75,0.75,0.0,1.0,0.25,0.75,0.0,0.0,0.0,0.75,0.25
1.0,1.0,1.0,0.0,0.5,0.5,0.5,0.25,0.75,0.5,1.0,0.25,0.5,1.0,1.0,0.75
0.75,0.25,0.75,0.25,0.5,0.75,0.5,0.5,1.0,0.75,0.75,0.25,0.5,0.75,0.25,0.5
1.0,1.0,1.0,0.75,1.0,1.0,0.75,0.5,1.0,1.0,1.0,0.75,0.75,1.0,0.75,0.5
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.25,0.25,0.75,0.25,0.25,0.5,0.5,0.25,0.5,0.25,0.25,0.25,0.25,0.5,0.25,0.25
0.75,0.5,0.75,0.25,1.0,0.75,0.75,0.25,1.0,0.75,1.0,0.25,0.75,0.75,0.75,0.25
0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75
1.0,0.5,1.0,0.0,0.25,0.75,0.5,0.25,1.0,0.75,1.0,0.25,0.25,1.0,0.5,0.25
0.5,0.5,1.0,0.0,0.25,0.5,0.5,0.25,0.75,0.75,1.0,0.25,0.5,1.0,0.75,0.25
0.0,0.0,0.0,0.0,0.0,0.75,0.5,0.25,0.25,0.25,0.25,0.0,0.0,0.75,0.5,0.5
0.75,0.5,0.5,0.5,0.5,0.75,0.75,0.5,0.75,0.5,0.5,0.5,0.5,0.75,0.75,0.5
0.25,0.75,0.75,0.0,0.25,0.75,0.75,0.5,0.0,0.75,0.75,0.0,0.25,1.0,0.75,0.75
0.75,1.0,0.75,0.75,1.0,0.5,0.75,1.0,0.75,0.75,1.0,0.75,1.0,0.75,1.0,0.75
0.75,0.75,0.75,0.5,0.5,0.75,0.75,0.75,0.75,0.75,0.5,0.75,0.75,0.5,0.75,0.75
1.0,0.75,0.75,0.75,1.0,1.0,1.0,1.0,0.75,1.0,0.75,1.0,0.75,0.75,1.0,1.0
0.5,0.25,0.5,0.5,0.5,0.75,1.0,0.75,0.75,0.5,0.75,0.5,0.75,0.5,0.5,0.75
0.5,0.75,0.75,0.25,0.5,0.75,0.75,0.5,0.75,0.5,0.75,0.25,0.5,0.75,0.75,0.5
0.25,0.25,0.75,0.25,0.25,0.75,0.75,0.25,0.25,0.25,0.75,0.25,0.25,0.75,0.75,0.25
1.0,0.25,1.0,0.75,0.75,1.0,1.0,1.0,1.0,0.25,1.0,1.0,1.0,1.0,0.75,1.0
0.5,0.25,1.0,0.5,0.5,0.5,0.75,0.5,0.5,0.25,1.0,0.25,0.25,0.75,1.0,0.5
1.0,0.5,0.75,0.25,0.5,0.25,1.0,0.75,1.0,0.75,0.5,0.25,0.5,0.0,0.25,0.5
1.0,1.0,1.0,0.5,1.0,1.0,0.5,0.5,1.0,1.0,1.0,0.5,0.5,0.75,0.75,0.5
0.25,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.25,0.25,0.0,0.0,0.0,0.0,0.0,0.0
0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25
0.25,0.25,1.0,0.0,0.75,0.5,1.0,0.0,0.5,0.25,0.75,0.0,0.75,0.5,1.0,0.5
0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
0.25,0.75,1.0,0.0,0.75,0.75,1.0,0.0,0.75,1.0,1.0,0.0,0.5,0.75,1.0,0.0
0.75,0.5,0.75,0.25,0.5,0.75,0.5,0.25,0.5,0.25,0.75,0.5,0.5,0.75,0.5,0.25
0.5,0.5,0.75,0.5,0.25,0.75,0.75,0.5,0.75,0.75,0.75,0.25,0.75,0.75,0.75,0.5
0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.0,0.25,0.25,0.25,0.0
0.5,0.75,1.0,0.0,0.25,0.5,1.0,0.25,0.5,0.25,1.0,0.25,0.5,0.75,0.5,0.75
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
0.75,0.75,1.0,0.75,0.75,0.75,1.0,0.75,0.75,0.75,1.0,1.0,1.0,1.0,1.0,0.75
1.0,1.0,1.0,1.0,0.75,1.0,0.5,1.0,1.0,1.0,1.0,1.0,0.75,1.0,1.0,1.0
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.75,0.75,0.75,0.5,1.0,1.0,1.0,1.0
0.25,0.75,1.0,0.25,0.25,1.0,0.75,0.25,0.0,0.25,1.0,0.0,0.25,1.0,0.75,0.0
0.25,0.0,0.0,0.0,0.5,0.75,0.25,0.25,0.25,0.25,0.0,0.5,0.75,0.75,0.25,0.25
1.0,0.75,1.0,0.5,0.5,0.25,0.25,0.75,0.75,0.5,1.0,0.5,0.5,0.25,0.5,0.75
0.25,0.25,0.25,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.25,0.25,0.25,0.25
0.5,0.5,0.5,0.25,0.25,0.5,0.75,0.25,0.5,0.5,0.75,0.25,0.5,0.5,0.75,0.25
0.5,0.5,0.5,0.5,0.5,0.5,0.75,0.5,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25
0.0,0.0,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.0,0.25,0.25,0.25,0.25,0.0,0.25
1.0,0.75,1.0,0.75,1.0,1.0,0.75,0.75,0.75,0.75,1.0,0.75,0.75,1.0,0.75,0.75
0.25,0.0,0.25,0.0,0.25,0.0,0.0,0.25,0.25,0.0,0.25,0.25,0.25,0.0,0.0,0.25
0.0,0.0,0.25,0.0,0.0,0.25,0.25,0.0,0.0,0.0,0.25,0.0,0.0,0.25,0.25,0.0
0.0,0.0,0.25,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.25,0.0
0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.0
0.25,0.5,0.5,0.5,0.25,0.5,0.25,0.25,0.5,0.25,0.5,0.5,0.5,0.5,0.5,0.75
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.0,0.25,0.25,0.25,0.25,0.25,0.25
0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.0,0.25,0.25,0.25,0.25,0.25
0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25
0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
0.25,0.25,0.75,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.75,0.0,0.0,0.25,0.75,0.75
0.25,0.0,0.25,0.25,0.0,0.0,0.0,0.25,0.0,0.0,0.25,0.0,0.25,0.0,0.25,0.25
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.75,0.0,0.0,0.0,0.0,0.0
0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25
0.0,0.0,0.25,0.25,0.25,0.0,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.5,0.5,0.25,0.25,0.5,0.5,0.25,0.0,0.25,0.5,0.0,0.25,0.5,0.5,0.5
0.5,0.0,1.0,0.0,0.5,0.75,0.5,0.25,0.25,0.25,1.0,0.0,0.5,0.75,0.5,0.5
1.0,1.0,1.0,0.75,0.75,0.75,1.0,1.0,1.0,0.75,0.75,0.75,0.75,0.75,0.75,1.0
0.25,0.25,0.75,0.25,0.25,0.75,0.25,0.25,0.25,0.25,0.75,0.25,0.25,0.75,0.25,0.25
0.75,0.75,1.0,0.75,0.75,0.75,0.75,0.75,0.5,0.25,1.0,0.75,0.75,1.0,0.75,0.75
1.0,1.0,1.0,1.0,0.25,1.0,1.0,1.0,0.25,1.0,1.0,0.75,1.0,1.0,1.0,1.0
0.5,0.25,0.5,0.5,0.5,0.5,0.75,0.5,0.25,0.25,0.5,0.5,0.5,0.5,0.75,0.5
1.0,1.0,1.0,0.0,1.0,1.0,0.5,1.0,1.0,0.75,0.75,0.0,1.0,1.0,0.5,0.75
0.75,0.75,0.5,0.75,0.75,1.0,0.25,0.75,0.75,0.5,0.75,0.75,0.75,1.0,0.5,0.75
0.5,0.25,0.75,0.5,1.0,0.75,1.0,0.75,0.75,0.75,1.0,0.5,0.75,0.5,1.0,0.75
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
1.0,0.25,1.0,0.75,0.75,1.0,0.75,0.75,0.75,0.25,1.0,0.5,0.75,1.0,1.0,0.5
0.75,0.0,0.0,0.0,0.5,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0
0.25,0.25,0.75,0.25,0.25,0.25,0.75,0.5,0.75,0.25,1.0,0.75,0.75,0.75,0.5,0.5
0.5,0.25,0.5,0.75,0.5,0.5,0.25,0.5,0.5,0.5,0.75,0.5,0.25,0.5,0.75,0.5
0.5,0.5,0.75,0.5,0.75,0.75,0.0,0.5,0.5,0.5,0.75,0.75,0.25,1.0,1.0,0.5
1.0,1.0,1.0,0.75,1.0,1.0,0.5,1.0,1.0,1.0,0.75,1.0,1.0,1.0,0.75,0.75
0.75,0.5,0.5,0.0,0.5,0.75,1.0,0.5,0.75,0.25,0.75,0.0,0.5,0.25,0.75,0.75
0.5,0.5,0.5,0.25,0.5,0.5,0.5,0.5,0.5,0.25,0.5,0.25,0.25,0.5,0.5,0.25
0.25,0.25,1.0,0.25,0.75,0.25,0.75,0.75,0.25,0.25,1.0,0.25,0.25,0.75,0.75,0.75
1.0,0.25,0.75,0.25,0.25,0.75,0.75,0.25,1.0,0.25,0.25,0.0,0.25,0.75,0.75,0.25
0.75,0.75,1.0,0.5,0.5,1.0,1.0,1.0,0.75,0.5,0.75,0.5,0.5,1.0,1.0,0.75
0.25,0.25,0.25,0.25,0.5,0.0,0.5,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25
1.0,1.0,1.0,0.25,1.0,1.0,0.25,1.0,1.0,0.25,1.0,0.0,0.75,1.0,0.25,0.75
0.25,0.25,0.75,0.25,0.0,0.5,0.0,0.25,0.75,0.25,0.75,0.25,0.0,0.5,0.75,0.5
0.75,0.5,0.75,1.0,0.5,1.0,1.0,1.0,0.25,0.25,0.75,0.5,1.0,1.0,0.75,1.0
0.25,0.25,0.5,0.0,0.5,0.75,0.0,0.25,0.75,0.0,0.25,0.0,0.75,0.75,0.25,0.5
0.25,0.25,1.0,0.75,1.0,1.0,1.0,1.0,1.0,0.25,1.0,1.0,0.75,0.75,1.0,0.75
0.5,0.25,0.5,0.25,0.75,0.75,0.75,0.75,0.5,0.25,0.75,0.5,0.75,0.75,0.75,0.75
0.75,0.25,0.75,0.25,0.75,0.75,0.75,0.75,0.75,0.25,0.75,0.25,0.75,0.75,0.75,0.75
1.0,1.0,1.0,0.75,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.75,1.0,1.0,1.0,1.0
1.0,0.75,1.0,0.5,0.75,1.0,1.0,1.0,0.75,0.75,1.0,0.5,0.75,1.0,1.0,1.0
0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.75,0.75,0.75,0.75,0.75
0.5,0.25,0.5,0.5,0.75,0.25,0.5,0.5,0.75,0.25,0.0,0.5,0.25,0.75,0.0,0.0
0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25
0.25,0.5,0.0,0.5,0.25,0.25,0.75,0.0,0.5,0.25,0.5,0.5,0.0,0.25,1.0,0.25
0.0,0.0,0.75,0.0,0.25,0.0,0.75,0.0,0.0,0.0,0.75,0.0,0.25,0.5,1.0,0.5
0.75,0.75,0.75,0.5,0.75,0.75,0.75,0.75,0.75,0.25,0.75,0.25,0.75,0.75,0.75,0.75
1.0,0.75,0.75,0.5,0.75,1.0,0.75,0.75,1.0,0.25,0.75,0.25,0.75,1.0,0.75,0.75
0.0,0.0,0.5,0.0,0.0,0.5,0.75,0.25,0.25,0.0,0.75,0.0,0.5,0.25,0.75,0.25
0.75,0.75,0.75,1.0,0.75,0.75,0.25,0.75,0.75,0.75,1.0,0.75,0.5,0.75,0.75,0.75
0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75
0.5,0.0,0.25,0.0,0.25,0.0,0.0,0.0,0.5,0.0,0.25,0.0,0.25,0.5,0.25,0.0
0.75,0.0,0.25,0.0,0.75,0.75,0.5,0.0,0.75,0.25,0.75,0.5,1.0,0.75,0.75,0.25
0.0,0.25,0.0,0.25,0.0,0.0,0.0,0.25,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0
0.5,0.25,0.75,0.5,0.25,0.5,0.75,0.5,0.75,0.5,1.0,0.25,0.5,1.0,0.75,0.5
0.75,0.25,0.75,0.75,0.25,0.75,0.75,0.5,0.75,0.25,0.75,0.25,0.25,0.75,0.75,0.75
0.0,0.75,0.75,0.75,0.25,0.75,0.0,0.75,0.75,0.25,0.75,0.75,0.75,0.75,0.75,0.75
0.0,0.25,1.0,0.25,0.75,0.75,1.0,0.75,0.0,0.25,1.0,0.25,0.5,0.75,1.0,0.75
0.75,0.75,1.0,0.75,1.0,1.0,1.0,0.75,0.75,0.75,1.0,0.75,0.75,1.0,1.0,0.5
1.0,0.5,0.75,0.25,0.75,0.5,0.25,0.5,1.0,0.75,0.75,0.0,1.0,0.5,0.25,0.75
0.25,0.0,0.75,0.25,0.0,0.25,0.75,0.25,0.75,0.0,0.75,0.0,0.0,0.25,0.75,0.0
1.0,1.0,0.75,0.5,0.75,1.0,0.5,1.0,1.0,0.75,1.0,0.5,0.75,0.75,0.75,0.75
1.0,1.0,1.0,0.75,0.75,1.0,0.75,0.25,1.0,0.75,1.0,0.25,0.25,1.0,0.75,0.25
1.0,0.0,1.0,0.0,0.5,1.0,0.25,0.25,1.0,0.0,0.75,0.0,0.5,1.0,0.5,0.25
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.75,0.75,1.0,1.0,1.0
1.0,0.75,1.0,0.75,1.0,1.0,1.0,0.75,1.0,1.0,1.0,0.5,1.0,1.0,1.0,0.75
0.75,1.0,1.0,0.25,1.0,1.0,0.75,1.0,1.0,1.0,1.0,0.75,0.0,1.0,1.0,0.5
0.25,0.25,1.0,0.25,0.25,0.25,1.0,0.25,0.25,0.25,1.0,0.0,0.25,0.25,0.75,0.25
0.5,0.25,0.75,0.0,0.25,0.5,0.5,0.25,0.5,0.25,0.75,0.0,0.25,0.75,0.5,0.0
1.0,0.25,1.0,0.0,0.25,0.5,0.75,0.0,1.0,0.25,1.0,0.0,0.75,0.75,0.75,0.0
1.0,0.25,1.0,0.75,0.75,1.0,0.75,0.75,0.75,0.25,1.0,0.75,0.75,1.0,0.75,0.75
0.25,0.25,0.5,0.0,0.25,0.75,1.0,0.25,0.0,0.0,0.25,0.0,0.25,0.75,1.0,0.25
1.0,0.25,0.25,0.0,0.5,0.75,0.75,0.0,1.0,0.0,0.25,0.25,0.25,0.75,0.75,0.0
0.25,0.25,0.5,0.25,0.75,0.5,0.25,0.5,0.5,0.25,0.5,0.25,0.25,0.75,0.75,0.5
0.75,0.25,0.75,0.25,0.25,0.25,0.5,0.25,0.75,0.25,0.75,0.25,0.25,0.5,0.75,0.25
0.75,0.5,0.25,0.5,0.5,0.25,0.0,0.75,1.0,1.0,1.0,0.5,0.25,1.0,1.0,0.25
0.75,0.5,0.75,0.75,0.75,0.5,0.75,0.75,0.75,0.75,0.75,0.5,0.5,0.75,1.0,0.75
