ait_39. What is your trust level to utilize Artificial Intelligence or Fully Autonomous Technologies?,ait_40. What is your trust level to utilize a Self-Driving car when this technology becomes available?,ait_41. What is your trust level that self-driving cars will keep your own safety as it's primary objective?,ait_42. What is your trust level that self-driving cars will be able to navigate in construction zones that include temporary detours that would ordinarily go against the flow of traffic?,ait_43. What is your trust level that self-driving cars will be able to navigate in crowded pedestrian areas?,ait_44. What is your trust level that self-driving cars will successfully get you to the EXACT destination you requested?,ait_45. What is your trust level in the ability of self-driving cars to navigate safely with no-person in the vehicle. ,"ainh_47. If you are traveling in a self-driving car, and the car is in control of the speed, what range speed would you feel most comfortable with when driving on: NON-HIGHWAY ROADS ","ainh_48. If you are traveling in a self-driving car, on NON-HIGHWAY ROADS, you expect the car to change lanes:","ainh_49. If you are traveling in a self-driving car, on NON-HIGHWAY ROADS ,your preference for the way it accelerates and decelerate would be:","ainh_50. If you are traveling in a self-driving car, how often would you expect the car to pass other vehicles when driving on: NON-HIGHWAY ROADS ","ainh_51. If you are traveling in a self-driving car, how often would you want the car to brake when driving on: NON-HIGHWAY ROADS "
1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.5,0.0,0.5
0.25,0.0,0.0,0.0,0.0,0.0,0.25,0.5,0.0,0.5,0.5,0.0
0.25,0.25,0.5,0.25,0.25,0.5,0.25,0.0,0.0,0.0,0.0,0.0
1.0,0.75,0.75,0.25,0.5,0.5,0.5,0.5,0.0,0.0,0.5,0.5
0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.0,0.0,0.0,0.0,0.5
0.75,0.75,0.25,0.25,0.25,0.75,0.75,0.5,0.5,0.5,0.5,0.5
0.5,0.25,0.25,0.25,0.75,1.0,0.75,0.5,0.5,0.5,0.5,0.5
0.5,0.75,0.5,0.25,0.75,1.0,1.0,0.5,0.5,0.5,0.5,0.0
0.5,0.75,0.5,0.75,0.5,0.75,0.5,0.5,0.5,0.5,0.5,0.5
0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.0,0.5,0.5,0.5,0.5
0.75,0.75,0.75,0.75,1.0,0.75,0.75,0.0,1.0,0.5,1.0,0.0
1.0,1.0,0.75,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0
0.25,0.0,0.5,0.75,0.5,0.75,0.0,0.0,0.5,0.5,0.5,0.5
0.0,0.25,0.75,0.25,0.0,0.5,0.75,0.0,0.5,0.5,0.0,0.0
0.75,0.75,0.75,0.5,0.5,0.75,0.75,0.5,0.5,0.5,0.5,0.5
0.75,0.75,0.25,0.5,0.25,0.25,0.75,0.5,0.5,0.5,0.5,1.0
0.0,0.5,0.25,0.5,0.25,0.75,0.75,1.0,0.0,0.5,1.0,0.0
1.0,1.0,0.75,1.0,0.75,1.0,0.75,0.0,0.5,0.0,0.5,0.0
0.5,0.75,0.5,0.25,0.5,0.75,0.5,0.5,0.0,0.5,0.0,1.0
0.5,0.5,0.75,0.75,0.75,0.75,0.75,1.0,0.5,0.5,0.0,0.5
0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.5,0.0,0.5,0.5,0.0
0.25,0.5,0.25,0.25,0.25,0.25,0.25,0.5,0.0,0.5,0.5,0.0
0.5,0.25,0.25,0.75,0.5,0.25,0.75,0.0,0.5,0.0,0.5,0.5
0.75,0.5,0.75,0.25,0.0,0.25,0.0,0.5,0.0,0.5,0.5,0.5
0.75,0.75,0.75,0.0,0.5,0.75,0.75,0.5,0.0,0.5,0.0,0.5
0.5,0.25,0.25,0.25,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.5,0.5,0.0,0.5,0.5
0.25,0.0,0.0,0.0,0.0,0.0,0.75,0.5,0.0,0.5,0.0,0.5
0.75,0.75,1.0,0.5,0.0,0.75,0.5,0.5,0.0,0.5,0.5,0.5
1.0,0.75,1.0,0.5,0.75,1.0,0.75,0.5,0.5,0.5,0.0,0.0
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
0.5,0.5,0.75,0.75,0.5,0.75,0.75,1.0,1.0,1.0,1.0,1.0
1.0,1.0,0.5,0.5,0.5,0.5,0.25,0.0,0.0,0.5,0.5,0.5
0.75,0.75,0.5,0.25,0.5,0.25,0.75,0.5,0.5,0.0,0.5,0.5
0.25,0.75,0.75,0.75,0.75,0.75,0.75,0.5,0.5,0.5,0.5,0.5
0.25,0.25,0.75,0.5,0.5,1.0,0.25,0.5,0.0,0.5,0.0,0.0
0.5,0.25,0.75,0.75,0.25,1.0,0.25,0.5,0.0,0.0,0.0,0.5
0.5,0.5,0.5,0.25,0.25,0.25,0.0,0.5,0.0,0.5,0.0,0.5
0.5,0.5,0.75,0.5,0.5,0.75,0.5,0.5,0.5,0.5,0.5,0.5
0.5,0.5,0.75,0.75,0.75,0.75,0.75,0.0,0.0,0.0,0.0,0.0
0.0,0.5,0.75,0.25,0.0,0.25,1.0,0.0,0.0,0.0,0.0,0.0
0.75,0.5,0.75,0.75,0.75,0.5,0.75,0.5,1.0,0.5,0.5,0.5
1.0,0.75,1.0,0.75,0.75,1.0,1.0,0.0,0.0,0.5,0.0,0.5
0.25,0.75,0.5,0.75,0.25,0.5,0.5,0.5,0.5,0.5,0.5,1.0
0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.0,0.0,0.0,0.5,0.5
0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.0,0.0,0.0,0.0,1.0
1.0,0.75,0.75,0.25,0.25,1.0,1.0,0.5,0.5,0.5,0.5,0.5
0.5,0.25,0.5,0.75,0.5,1.0,0.5,0.5,0.0,0.0,0.0,0.5
0.5,0.5,0.75,0.0,0.5,0.75,0.25,0.5,0.0,0.5,0.0,0.5
0.75,0.75,0.5,0.25,0.25,0.0,0.25,0.5,0.5,0.5,0.5,1.0
0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.5,0.0,0.5,0.0,0.5
1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,0.5,0.5,0.5,1.0
0.5,0.75,0.5,0.75,0.75,0.75,0.25,0.5,0.0,0.5,0.0,0.0
0.75,0.75,0.75,0.5,0.75,0.75,0.75,0.5,0.5,0.5,0.0,0.5
0.75,0.5,0.75,0.25,0.75,1.0,0.5,0.0,0.5,0.5,0.5,0.5
0.75,0.5,0.5,0.25,0.5,0.75,0.25,0.5,0.0,0.5,0.0,0.5
0.75,0.75,0.75,0.25,0.75,0.75,0.25,0.0,0.0,0.5,0.0,0.5
0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.0,0.5,0.0,0.5
0.5,0.5,0.5,0.5,0.5,0.75,0.5,0.5,0.5,0.5,0.5,0.5
0.75,0.5,0.25,0.25,0.25,0.75,0.0,0.0,0.5,0.5,0.5,0.5
1.0,1.0,1.0,0.5,1.0,1.0,0.5,0.5,0.0,0.5,0.0,0.5
0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.0,0.0,0.0,0.0,0.0
0.0,0.25,0.25,0.25,0.25,0.25,0.25,0.0,0.0,0.0,0.0,0.0
0.5,0.5,0.5,0.5,0.5,1.0,0.5,0.5,0.5,0.5,0.5,0.5
1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.0,0.0,0.0,0.0,0.0
0.25,0.5,0.0,0.0,0.25,0.75,0.75,0.0,0.5,0.0,0.0,0.5
0.75,0.75,0.75,0.75,0.5,0.5,0.25,0.5,0.5,0.5,0.5,0.5
0.75,0.75,0.75,0.5,0.25,0.75,0.5,0.0,0.0,0.0,0.0,0.0
0.5,0.5,0.5,0.5,0.5,0.75,0.75,0.0,0.0,0.5,0.5,1.0
0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.0,0.5,0.0,0.0
0.5,0.5,0.75,0.5,0.5,0.5,0.5,0.5,0.0,0.5,0.5,0.5
0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.0,0.0,0.0,0.0,0.5
0.25,0.25,0.25,0.0,0.0,0.5,0.0,0.5,0.5,0.5,0.0,0.0
0.5,0.25,0.5,0.5,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.5
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0
0.25,0.25,0.25,0.25,0.0,0.0,0.0,1.0,0.0,0.5,0.5,0.0
1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,0.0,0.5,0.0,0.5
0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.0,0.0,0.0,0.0,0.0
0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.0,0.0,0.0,0.0,0.0
0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.0,0.0,0.0,0.0,0.0
0.75,0.75,0.5,0.25,0.25,0.5,0.25,0.0,0.0,0.0,0.0,0.0
0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.5,0.5,0.5,0.5,0.5
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.25,0.25,0.25,0.25,0.25,0.0,0.0,0.0,0.0,0.0
0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.5,0.5,0.5,0.5,0.5
0.5,0.0,0.0,0.25,0.25,0.0,0.0,0.0,0.0,0.5,0.5,0.0
0.0,0.25,0.25,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.25,0.0,0.0,1.0,0.0,0.5,0.0,0.0,0.0,0.0
1.0,1.0,1.0,1.0,0.75,1.0,0.75,0.5,0.0,0.5,0.0,0.0
0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.5,0.5,0.5,0.0,0.5
0.5,0.5,0.75,0.5,0.0,0.75,0.5,0.5,0.5,0.5,0.5,0.5
0.5,0.75,0.75,1.0,0.75,1.0,0.25,0.0,0.5,0.5,0.5,0.5
0.25,0.0,0.25,0.0,0.0,0.25,0.25,0.0,0.0,0.0,0.0,0.0
1.0,0.25,0.25,0.0,0.0,1.0,1.0,0.5,0.5,0.5,0.5,0.5
0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.0,0.0,0.0,0.0,0.0
1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.5,0.5,0.5
0.75,0.75,0.75,0.75,0.75,1.0,0.75,0.5,0.0,0.5,0.0,0.5
0.5,1.0,0.75,0.5,0.5,1.0,0.5,0.5,0.0,0.5,0.0,0.5
0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.5,0.0,0.5
0.25,0.25,0.5,0.25,0.0,0.75,0.25,0.5,0.5,0.5,0.5,0.5
0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.0,0.0,0.0,0.5
0.5,0.5,0.5,0.75,0.5,1.0,0.75,0.5,0.5,0.5,0.5,0.5
1.0,1.0,1.0,0.75,0.5,1.0,1.0,1.0,0.5,0.5,0.5,1.0
0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.5,0.0,0.5,0.5,0.5
0.25,0.25,0.25,0.25,0.25,0.5,0.5,0.5,0.0,0.0,0.0,0.5
0.25,0.25,0.5,0.25,0.0,0.25,0.25,0.5,0.0,0.5,0.0,0.5
0.5,0.25,0.25,0.25,0.0,0.25,0.25,0.0,0.0,0.5,0.5,0.5
1.0,0.75,0.75,0.5,0.5,0.75,0.5,0.5,0.5,0.5,0.5,0.5
0.0,0.25,1.0,0.5,0.75,1.0,0.5,1.0,1.0,1.0,1.0,1.0
0.25,0.25,0.25,0.5,0.0,1.0,0.25,0.5,0.5,0.5,0.5,0.0
0.5,0.5,0.5,0.75,0.25,0.75,0.75,0.5,0.0,0.5,0.0,0.5
0.5,0.5,0.75,0.75,0.5,0.75,0.75,0.5,0.0,0.0,0.0,0.5
0.0,0.0,0.25,0.25,0.0,0.25,0.5,0.0,0.0,0.5,0.5,0.0
0.5,0.75,0.75,0.25,0.0,0.75,0.5,0.5,0.5,0.5,0.5,0.5
0.5,0.25,0.25,0.0,0.25,0.5,0.0,0.5,0.5,0.5,0.5,0.5
0.25,0.25,0.5,0.25,0.25,0.75,0.25,0.5,0.5,0.5,0.5,0.5
0.5,0.75,0.75,0.75,1.0,1.0,0.75,0.5,0.5,0.0,0.5,0.5
1.0,0.75,0.75,0.5,0.75,1.0,1.0,0.5,0.0,0.5,0.0,0.5
0.25,0.5,0.5,0.75,0.0,0.25,0.5,0.5,0.5,0.5,0.5,0.5
0.75,0.75,0.75,0.25,0.25,1.0,0.75,0.5,0.0,0.5,0.0,0.5
0.75,0.25,0.25,0.25,0.0,0.75,0.25,0.5,0.0,0.0,0.5,1.0
0.25,0.25,0.5,0.25,0.5,0.25,0.5,0.0,0.5,0.5,0.5,0.0
0.25,0.25,0.75,0.0,0.0,0.25,0.25,0.0,0.0,0.0,0.0,0.0
0.5,0.75,0.5,0.25,0.5,0.75,0.25,0.5,0.5,0.5,0.0,0.5
0.75,0.5,1.0,0.75,0.5,1.0,0.75,0.5,0.5,0.5,0.0,0.5
0.75,0.25,0.25,0.5,0.0,0.25,0.0,0.5,0.5,0.5,0.0,0.0
0.75,0.75,0.75,0.25,0.25,0.75,0.75,0.5,0.0,0.5,0.5,0.5
0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.0,0.5,0.0,1.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.25,0.25,0.0,0.25,0.25,0.75,0.25,0.5,0.0,0.0,0.0,1.0
0.25,0.25,0.0,0.25,0.5,0.25,0.75,0.0,0.5,0.5,0.5,0.5
0.5,0.5,0.5,0.25,0.25,1.0,1.0,0.5,0.0,0.0,0.0,1.0
0.25,0.25,0.25,0.25,0.0,0.75,0.5,0.5,0.5,0.5,0.5,0.5
0.25,0.25,0.75,0.75,0.0,0.75,0.0,0.5,0.0,0.0,0.0,0.0
0.25,0.25,0.5,0.75,1.0,1.0,1.0,0.5,0.0,0.5,0.5,0.5
0.75,0.25,0.75,0.75,0.5,1.0,0.5,0.5,0.5,0.5,0.5,0.5
0.75,0.75,1.0,0.25,0.25,0.75,0.75,0.5,0.0,0.5,0.0,0.5
0.25,0.0,0.75,0.0,0.0,0.75,0.0,0.5,0.5,0.5,0.5,0.5
0.75,0.75,0.75,0.5,0.0,1.0,0.75,0.5,0.5,0.5,0.5,0.5
0.25,0.25,0.75,0.0,0.0,1.0,0.0,0.5,0.5,0.5,0.5,0.5
0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.5,0.0,0.5,0.0,0.5
0.75,0.75,1.0,0.75,0.75,1.0,1.0,0.5,0.5,0.0,0.0,0.0
0.75,0.5,0.75,1.0,1.0,1.0,1.0,0.5,0.5,0.5,0.5,0.0
1.0,0.75,0.25,0.75,0.0,0.75,0.25,0.0,0.0,0.5,0.0,0.5
0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.5,0.0,0.5,0.5,0.5
0.25,0.25,0.25,0.0,0.25,0.5,0.0,0.5,0.5,0.0,0.0,0.0
0.25,0.0,0.25,0.75,0.0,1.0,0.5,0.5,0.5,0.5,0.5,0.5
0.25,0.25,0.5,0.0,0.25,0.75,1.0,0.5,0.0,0.0,0.0,0.5
0.25,0.0,0.0,0.0,0.0,0.75,0.0,0.0,0.0,0.0,0.0,0.5
0.0,0.0,0.0,0.0,0.0,0.5,0.25,0.5,0.0,0.0,0.0,0.0
0.0,0.0,0.25,0.0,0.0,0.75,0.0,0.5,0.5,0.5,0.5,0.5
0.25,0.25,0.25,0.25,0.25,0.75,0.25,0.5,0.0,0.5,0.0,0.0
0.25,0.25,0.5,0.25,0.25,1.0,0.25,0.0,0.5,0.5,0.5,1.0
1.0,0.75,0.25,0.5,1.0,0.75,0.25,0.5,0.5,0.5,0.5,0.5
