"aih_52. Si estuviera en un automóvil autónomo, ¿qué tareas se siente cómodo delegar al automóvil para que las realice de forma autónoma? Califique su nivel de confianza cuando se trata de las siguientes tareas de conducción realizadas por un automóvil autónomo cuando se conduce en: AUTOPISTAS CARRETERAS [la velocidad del coche]","aih_52. Si estuviera en un automóvil autónomo, ¿qué tareas se siente cómodo delegar al automóvil para que las realice de forma autónoma? Califique su nivel de confianza cuando se trata de las siguientes tareas de conducción realizadas por un automóvil autónomo cuando se conduce en: AUTOPISTAS CARRETERAS [Cambiar de carril]","aih_52. Si estuviera en un automóvil autónomo, ¿qué tareas se siente cómodo delegar al automóvil para que las realice de forma autónoma? Califique su nivel de confianza cuando se trata de las siguientes tareas de conducción realizadas por un automóvil autónomo cuando se conduce en: AUTOPISTAS CARRETERAS [Señalización]","aih_52. Si estuviera en un automóvil autónomo, ¿qué tareas se siente cómodo delegar al automóvil para que las realice de forma autónoma? Califique su nivel de confianza cuando se trata de las siguientes tareas de conducción realizadas por un automóvil autónomo cuando se conduce en: AUTOPISTAS CARRETERAS [Conducir en condiciones climáticas peligrosas]","aih_52. Si estuviera en un automóvil autónomo, ¿qué tareas se siente cómodo delegar al automóvil para que las realice de forma autónoma? Califique su nivel de confianza cuando se trata de las siguientes tareas de conducción realizadas por un automóvil autónomo cuando se conduce en: AUTOPISTAS CARRETERAS [Frenado]","aih_52. Si estuviera en un automóvil autónomo, ¿qué tareas se siente cómodo delegar al automóvil para que las realice de forma autónoma? Califique su nivel de confianza cuando se trata de las siguientes tareas de conducción realizadas por un automóvil autónomo cuando se conduce en: AUTOPISTAS CARRETERAS [Mantener cierta distancia de los autos que te rodean.]","aih_52. Si estuviera en un automóvil autónomo, ¿qué tareas se siente cómodo delegar al automóvil para que las realice de forma autónoma? Califique su nivel de confianza cuando se trata de las siguientes tareas de conducción realizadas por un automóvil autónomo cuando se conduce en: AUTOPISTAS CARRETERAS [Estacionamiento]","aih_52. Si estuviera en un automóvil autónomo, ¿qué tareas se siente cómodo delegar al automóvil para que las realice de forma autónoma? Califique su nivel de confianza cuando se trata de las siguientes tareas de conducción realizadas por un automóvil autónomo cuando se conduce en: AUTOPISTAS CARRETERAS [Conducir de noche]","ainh_46. Si estuviera en un automóvil autónomo, ¿qué tareas se siente cómodo delegar al automóvil para que las realice de forma autónoma? Califique su nivel de confianza cuando se trata de las siguientes tareas de conducción realizadas por un automóvil autónomo cuando se conduce en: CARRETERAS QUE NO SON AUTOPISTAS [la velocidad del coche]","ainh_46. Si estuviera en un automóvil autónomo, ¿qué tareas se siente cómodo delegar al automóvil para que las realice de forma autónoma? Califique su nivel de confianza cuando se trata de las siguientes tareas de conducción realizadas por un automóvil autónomo cuando se conduce en: CARRETERAS QUE NO SON AUTOPISTAS [Cambiar de carril]","ainh_46. Si estuviera en un automóvil autónomo, ¿qué tareas se siente cómodo delegar al automóvil para que las realice de forma autónoma? Califique su nivel de confianza cuando se trata de las siguientes tareas de conducción realizadas por un automóvil autónomo cuando se conduce en: CARRETERAS QUE NO SON AUTOPISTAS [Señalización]","ainh_46. Si estuviera en un automóvil autónomo, ¿qué tareas se siente cómodo delegar al automóvil para que las realice de forma autónoma? Califique su nivel de confianza cuando se trata de las siguientes tareas de conducción realizadas por un automóvil autónomo cuando se conduce en: CARRETERAS QUE NO SON AUTOPISTAS [Conducir en condiciones climáticas peligrosas]","ainh_46. Si estuviera en un automóvil autónomo, ¿qué tareas se siente cómodo delegar al automóvil para que las realice de forma autónoma? Califique su nivel de confianza cuando se trata de las siguientes tareas de conducción realizadas por un automóvil autónomo cuando se conduce en: CARRETERAS QUE NO SON AUTOPISTAS [Frenado]","ainh_46. Si estuviera en un automóvil autónomo, ¿qué tareas se siente cómodo delegar al automóvil para que las realice de forma autónoma? Califique su nivel de confianza cuando se trata de las siguientes tareas de conducción realizadas por un automóvil autónomo cuando se conduce en: CARRETERAS QUE NO SON AUTOPISTAS [Mantener cierta distancia de los autos que te rodean.]","ainh_46. Si estuviera en un automóvil autónomo, ¿qué tareas se siente cómodo delegar al automóvil para que las realice de forma autónoma? Califique su nivel de confianza cuando se trata de las siguientes tareas de conducción realizadas por un automóvil autónomo cuando se conduce en: CARRETERAS QUE NO SON AUTOPISTAS [Estacionamiento]","ainh_46. Si estuviera en un automóvil autónomo, ¿qué tareas se siente cómodo delegar al automóvil para que las realice de forma autónoma? Califique su nivel de confianza cuando se trata de las siguientes tareas de conducción realizadas por un automóvil autónomo cuando se conduce en: CARRETERAS QUE NO SON AUTOPISTAS [Conducir de noche]"
0.25,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.25,0.25,0.0,0.0,0.0,0.0,0.0,0.0
0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25
0.25,0.25,1.0,0.0,0.75,0.5,1.0,0.0,0.5,0.25,0.75,0.0,0.75,0.5,1.0,0.5
0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
0.25,0.75,1.0,0.0,0.75,0.75,1.0,0.0,0.75,1.0,1.0,0.0,0.5,0.75,1.0,0.0
0.75,0.5,0.75,0.25,0.5,0.75,0.5,0.25,0.5,0.25,0.75,0.5,0.5,0.75,0.5,0.25
0.5,0.5,0.75,0.5,0.25,0.75,0.75,0.5,0.75,0.75,0.75,0.25,0.75,0.75,0.75,0.5
0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.0,0.25,0.25,0.25,0.0
0.5,0.75,1.0,0.0,0.25,0.5,1.0,0.25,0.5,0.25,1.0,0.25,0.5,0.75,0.5,0.75
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
0.75,0.75,1.0,0.75,0.75,0.75,1.0,0.75,0.75,0.75,1.0,1.0,1.0,1.0,1.0,0.75
1.0,1.0,1.0,1.0,0.75,1.0,0.5,1.0,1.0,1.0,1.0,1.0,0.75,1.0,1.0,1.0
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.75,0.75,0.75,0.5,1.0,1.0,1.0,1.0
0.25,0.75,1.0,0.25,0.25,1.0,0.75,0.25,0.0,0.25,1.0,0.0,0.25,1.0,0.75,0.0
0.25,0.0,0.0,0.0,0.5,0.75,0.25,0.25,0.25,0.25,0.0,0.5,0.75,0.75,0.25,0.25
1.0,0.75,1.0,0.5,0.5,0.25,0.25,0.75,0.75,0.5,1.0,0.5,0.5,0.25,0.5,0.75
0.25,0.25,0.25,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.25,0.25,0.25,0.25
0.5,0.5,0.5,0.25,0.25,0.5,0.75,0.25,0.5,0.5,0.75,0.25,0.5,0.5,0.75,0.25
0.5,0.5,0.5,0.5,0.5,0.5,0.75,0.5,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25
0.0,0.0,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.0,0.25,0.25,0.25,0.25,0.0,0.25
1.0,0.75,1.0,0.75,1.0,1.0,0.75,0.75,0.75,0.75,1.0,0.75,0.75,1.0,0.75,0.75
0.25,0.0,0.25,0.0,0.25,0.0,0.0,0.25,0.25,0.0,0.25,0.25,0.25,0.0,0.0,0.25
0.0,0.0,0.25,0.0,0.0,0.25,0.25,0.0,0.0,0.0,0.25,0.0,0.0,0.25,0.25,0.0
0.0,0.0,0.25,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.25,0.0
0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.0
0.25,0.5,0.5,0.5,0.25,0.5,0.25,0.25,0.5,0.25,0.5,0.5,0.5,0.5,0.5,0.75
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.0,0.25,0.25,0.25,0.25,0.25,0.25
0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.0,0.25,0.25,0.25,0.25,0.25
0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25
0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
0.25,0.25,0.75,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.75,0.0,0.0,0.25,0.75,0.75
0.25,0.0,0.25,0.25,0.0,0.0,0.0,0.25,0.0,0.0,0.25,0.0,0.25,0.0,0.25,0.25
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.75,0.0,0.0,0.0,0.0,0.0
0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25
0.0,0.0,0.25,0.25,0.25,0.0,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.5,0.5,0.25,0.25,0.5,0.5,0.25,0.0,0.25,0.5,0.0,0.25,0.5,0.5,0.5
0.5,0.0,1.0,0.0,0.5,0.75,0.5,0.25,0.25,0.25,1.0,0.0,0.5,0.75,0.5,0.5
